psc,obec,okres,distributor_elektrina,distributor_plyn,overit
10000,Praha 10,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
10100,Praha 101,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
10200,Praha 102,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
10300,Praha 113,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
10400,Praha 114,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
10600,Praha 106,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
10700,Praha 112,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
10800,Praha 108,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
10900,Praha 111,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
11000,Praha 1,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
11800,Praha 011,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
11900,Praha 012,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
12000,Praha 2,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
12800,Praha 28,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
13000,Praha 3,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
14000,Praha 4,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
14100,Praha 41,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
14200,Praha 411,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
14300,Praha 412,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
14700,Praha 47,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
14800,Praha 414,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
14900,Praha 415,Hlavní město Praha;Praha-západ,PREdistribuce,Pražská plynárenská Distribuce,ano
15000,Praha 5,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
15200,Praha 52,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
15300,Praha 512,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
15400,Praha 514,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
15500,Praha 515,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
15521,Praha 517,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
15531,Praha 511,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
15600,Praha 516,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
15800,Praha 58,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
15900,Praha 59,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
16000,Praha 6,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
16100,Praha 614,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
16200,Praha 616,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
16300,Praha 618,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
16400,Praha 619,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
16500,Praha 620,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
16900,Praha 69,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
17000,Praha 7,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
17100,Praha 71,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
18000,Praha 8,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
18100,Praha 81,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
18200,Praha 82,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
18400,Praha 84,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
18600,Praha 86,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19000,Praha 9,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19011,Praha 911,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19012,Praha 912,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19014,Praha 914,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19015,Praha 915,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19016,Praha 916,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19017,Praha 917,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19300,Praha 913,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19600,Praha 96,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19700,Praha 97,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19800,Praha 98,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
19900,Praha 99,Hlavní město Praha,PREdistribuce,Pražská plynárenská Distribuce,ne
25001,Brandýs nad Labem-Stará Boleslav 1,Mělník;Praha-východ,ČEZ Distribuce,GasNet,ne
25063,Mratín,Mělník;Praha-východ,ČEZ Distribuce,GasNet,ne
25064,Měšice u Prahy,Praha-východ,ČEZ Distribuce,GasNet,ne
25065,Líbeznice,Praha-východ,ČEZ Distribuce,GasNet,ne
25066,Zdiby,Praha-východ,ČEZ Distribuce,GasNet,ne
25067,Klecany,Praha-východ,ČEZ Distribuce,GasNet,ne
25068,Řež,Praha-východ,ČEZ Distribuce,GasNet,ne
25069,Vodochody,Praha-východ,ČEZ Distribuce,GasNet,ne
25070,Odolena Voda,Mělník;Praha-východ,ČEZ Distribuce,GasNet,ne
25072,Kojetice u Prahy,Mělník;Praha-východ,ČEZ Distribuce,GasNet,ne
25073,Jenštejn,Praha-východ,ČEZ Distribuce,GasNet,ne
25074,Výdejní místo Radonice,Praha-východ,ČEZ Distribuce,GasNet,ne
25075,Káraný,Praha-východ,ČEZ Distribuce,GasNet,ne
25081,Nehvizdy,Praha-východ,ČEZ Distribuce,GasNet,ne
25082,Úvaly,Kolín;Praha-východ,ČEZ Distribuce,GasNet,ne
25083,Škvorec,Praha-východ,ČEZ Distribuce,GasNet,ne
25084,Sibřina,Praha-východ,ČEZ Distribuce,GasNet,ne
25087,Mochov,Praha-východ,ČEZ Distribuce,GasNet,ne
25088,Čelákovice,Praha-východ,ČEZ Distribuce,GasNet,ne
25089,Lázně Toušeň,Praha-východ,ČEZ Distribuce,GasNet,ne
25090,Jirny,Praha-východ,ČEZ Distribuce,GasNet,ne
25091,Zeleneč v Čechách,Praha-východ,ČEZ Distribuce,GasNet,ne
25092,Šestajovice,Praha-východ,ČEZ Distribuce,GasNet,ne
25101,Říčany u Prahy,Praha-východ,ČEZ Distribuce,GasNet,ne
25162,Mukařov,Praha-východ,ČEZ Distribuce,GasNet,ne
25163,Strančice,Praha-východ,ČEZ Distribuce,GasNet,ne
25164,Mnichovice,Praha-východ,ČEZ Distribuce,GasNet,ne
25165,Ondřejov,Praha-východ,ČEZ Distribuce,GasNet,ne
25166,Senohraby,Praha-východ,ČEZ Distribuce,GasNet,ne
25167,Pyšely,Benešov;Praha-východ,ČEZ Distribuce,GasNet,ne
25168,Kamenice,Benešov;Praha-východ,ČEZ Distribuce,GasNet,ne
25169,Velké Popovice,Praha-východ,ČEZ Distribuce,GasNet,ne
25202,Jíloviště,Praha-západ,ČEZ Distribuce,GasNet,ne
25203,Řitka,Praha-západ,ČEZ Distribuce,GasNet,ne
25204,Čisovice,Praha-západ,ČEZ Distribuce,GasNet,ne
25205,Hvozdnice,Praha-západ,ČEZ Distribuce,GasNet,ne
25206,Davle,Praha-západ,ČEZ Distribuce,GasNet,ne
25207,Štěchovice,Praha-západ,ČEZ Distribuce,GasNet,ne
25208,Slapy nad Vltavou,Benešov;Praha-západ,ČEZ Distribuce,GasNet,ne
25209,Hradištko,Praha-západ,ČEZ Distribuce,GasNet,ne
25210,Mníšek pod Brdy,Praha-západ;Příbram,ČEZ Distribuce,GasNet,ne
25216,Nučice,Praha-západ,ČEZ Distribuce,GasNet,ne
25217,Tachlovice,Praha-západ,ČEZ Distribuce,GasNet,ne
25218,Úhonice,Praha-západ,ČEZ Distribuce,GasNet,ne
